       x:             u(x):          v(x):        log10(RelativeError):   
   0.0099009901    0.097658369  5.8885730E-18    -0.80255445
    0.019801980     0.17755899    -0.99990920    -0.95539102
    0.029702970     0.24761650     -1.9998638     -1.0482022
    0.039603960     0.30934906     -2.9998184     -1.1174500
    0.049504950     0.36381042     -3.9997730     -1.1737396
    0.059405941     0.41183345     -4.9997276     -1.2217112
    0.069306931     0.45411509     -5.9996822     -1.2638442
    0.079207921     0.49125568     -6.9996368     -1.3016345
    0.089108911     0.52378066     -7.9995914     -1.3360614
    0.099009901     0.55215454     -8.9995460     -1.3678059
     0.10891089     0.57679041     -9.9995006     -1.3973634
     0.11881188     0.59805729     -10.999455     -1.4251077
     0.12871287     0.61628570     -11.999410     -1.4513295
     0.13861386     0.63177236     -12.999364     -1.4762607
     0.14851485     0.64478405     -13.999319     -1.5000903
     0.15841584     0.65556088     -14.999274     -1.5229755
     0.16831683     0.66431921     -15.999228     -1.5450494
     0.17821782     0.67125408     -16.999183     -1.5664265
     0.18811881     0.67654144     -17.999137     -1.5872071
     0.19801980     0.68034010     -18.999092     -1.6074801
     0.20792079     0.68279343     -19.999047     -1.6273258
     0.21782178     0.68403090     -20.999001     -1.6468174
     0.22772277     0.68416947     -21.998956     -1.6660230
     0.23762376     0.68331483     -22.998910     -1.6850068
     0.24752475     0.68156246     -23.998865     -1.7038299
     0.25742574     0.67899869     -24.998820     -1.7225517
     0.26732673     0.67570151     -25.998774     -1.7412307
     0.27722772     0.67174147     -26.998729     -1.7599251
     0.28712871     0.66718231     -27.998683     -1.7786938
     0.29702970     0.66208169     -28.998638     -1.7975975
     0.30693069     0.65649172     -29.998593     -1.8166990
     0.31683168     0.65045953     -30.998547     -1.8360648
     0.32673267     0.64402774     -31.998502     -1.8557657
     0.33663366     0.63723489     -32.998456     -1.8758783
     0.34653465     0.63011581     -33.998411     -1.8964864
     0.35643564     0.62270203     -34.998366     -1.9176826
     0.36633663     0.61502203     -35.998320     -1.9395709
     0.37623762     0.60710158     -36.998275     -1.9622688
     0.38613861     0.59896398     -37.998229     -1.9859110
     0.39603960     0.59063029     -38.998184     -2.0106539
     0.40594059     0.58211958     -39.998139     -2.0366807
     0.41584158     0.57344905     -40.998093     -2.0642095
     0.42574257     0.56463428     -41.998048     -2.0935032
     0.43564356     0.55568936     -42.998002     -2.1248837
     0.44554455     0.54662702     -43.997957     -2.1587517
     0.45544554     0.53745875     -44.997912     -2.1956160
     0.46534653     0.52819497     -45.997866     -2.2361367
     0.47524752     0.51884507     -46.997821     -2.2811935
     0.48514851     0.50941756     -47.997775     -2.3319958
     0.49504950     0.49992011     -48.997730     -2.3902726
     0.50495050     0.49035967     -49.997685     -2.4586219
     0.51485149     0.48074251     -50.997639     -2.5412131
     0.52475248     0.47107429     -51.997594     -2.6453841
     0.53465347     0.46136014     -52.997548     -2.7859792
     0.54455446     0.45160467     -53.997503     -3.0012136
     0.55445545     0.44181207     -54.997458     -3.4660187
     0.56435644     0.43198611     -55.997412     -3.4807472
     0.57425743     0.42213020     -56.997367     -2.9904604
     0.58415842     0.41224740     -57.997321     -2.7607134
     0.59405941     0.40234049     -58.997276     -2.6071437
     0.60396040     0.39241198     -59.997231     -2.4904770
     0.61386139     0.38246413     -60.997185     -2.3955705
     0.62376238     0.37249898     -61.997140     -2.3149630
     0.63366337     0.36251837     -62.997094     -2.2444195
     0.64356436     0.35252395     -63.997049     -2.1813000
     0.65346535     0.34251721     -64.997004     -2.1238439
     0.66336634     0.33249952     -65.996958     -2.0708155
     0.67326733     0.32247208     -66.996913     -2.0213107
     0.68316832     0.31243598     -67.996867     -1.9746456
     0.69306931     0.30239221     -68.996822     -1.9302875
     0.70297030     0.29234165     -69.996777     -1.8878105
     0.71287129     0.28228510     -70.996731     -1.8468662
     0.72277228     0.27222328     -71.996686     -1.8071627
     0.73267327     0.26215683     -72.996640     -1.7684504
     0.74257426     0.25208633     -73.996595     -1.7305110
     0.75247525     0.24201231     -74.996550     -1.6931495
     0.76237624     0.23193522     -75.996504     -1.6561875
     0.77227723     0.22185548     -76.996459     -1.6194580
     0.78217822     0.21177347     -77.996413     -1.5828012
     0.79207921     0.20168953     -78.996368     -1.5460600
     0.80198020     0.19160396     -79.996323     -1.5090762
     0.81188119     0.18151702     -80.996277     -1.4716869
     0.82178218     0.17142895     -81.996232     -1.4337200
     0.83168317     0.16133997     -82.996186     -1.3949891
     0.84158416     0.15125026     -83.996141     -1.3552882
     0.85148515     0.14116001     -84.996096     -1.3143844
     0.86138614     0.13106935     -85.996050     -1.2720083
     0.87128713     0.12097842     -86.996005     -1.2278415
     0.88118812     0.11088735     -87.995959     -1.1815000
     0.89108911     0.10079623     -88.995914     -1.1325090
     0.90099010    0.090705155     -89.995869     -1.0802675
     0.91089109    0.080614209     -90.995823     -1.0239936
     0.92079208    0.070523462     -91.995778    -0.96263761
     0.93069307    0.060432977     -92.995732    -0.89473727
     0.94059406    0.050342806     -93.995687    -0.81816078
     0.95049505    0.040252998     -94.995642    -0.72961343
     0.96039604    0.030163592     -95.995596    -0.62358696
     0.97029703    0.020074623     -96.995551    -0.48976853
     0.98019802   0.0099861214     -97.995505    -0.30502241
