       x:             u(x):          v(x):        log10(RelativeError):   
     0.12187812     0.58470165     -120.99446     -2.4299774
     0.12287712     0.58663546     -121.99442     -2.4325213
     0.12387612     0.58854002     -122.99437     -2.4350516
     0.12487512     0.59041561     -123.99433     -2.4375685
     0.12587413     0.59226253     -124.99428     -2.4400722
     0.12687313     0.59408106     -125.99423     -2.4425630
     0.12787213     0.59587148     -126.99419     -2.4450411
     0.12887113     0.59763408     -127.99414     -2.4475066
     0.12987013     0.59936912     -128.99410     -2.4499598
     0.13086913     0.60107690     -129.99405     -2.4524009
     0.13186813     0.60275767     -130.99401     -2.4548299
     0.13286713     0.60441171     -131.99396     -2.4572472
     0.13386613     0.60603929     -132.99392     -2.4596529
     0.13486513     0.60764066     -133.99387     -2.4620472
     0.13586414     0.60921609     -134.99383     -2.4644302
     0.13686314     0.61076585     -135.99378     -2.4668021
     0.13786214     0.61229018     -136.99373     -2.4691632
     0.13886114     0.61378933     -137.99369     -2.4715134
     0.13986014     0.61526357     -138.99364     -2.4738531
     0.14085914     0.61671313     -139.99360     -2.4761824
     0.14185814     0.61813827     -140.99355     -2.4785014
     0.14285714     0.61953922     -141.99351     -2.4808103
     0.14385614     0.62091624     -142.99346     -2.4831092
     0.14485514     0.62226955     -143.99342     -2.4853983
     0.14585415     0.62359940     -144.99337     -2.4876777
     0.14685315     0.62490601     -145.99333     -2.4899476
     0.14785215     0.62618962     -146.99328     -2.4922081
     0.14885115     0.62745047     -147.99324     -2.4944593
     0.14985015     0.62868876     -148.99319     -2.4967014
     0.15084915     0.62990474     -149.99314     -2.4989345
     0.15184815     0.63109863     -150.99310     -2.5011588
     0.15284715     0.63227063     -151.99305     -2.5033744
     0.15384615     0.63342098     -152.99301     -2.5055814
     0.15484515     0.63454988     -153.99296     -2.5077799
     0.15584416     0.63565756     -154.99292     -2.5099700
     0.15684316     0.63674422     -155.99287     -2.5121519
     0.15784216     0.63781007     -156.99283     -2.5143258
     0.15884116     0.63885532     -157.99278     -2.5164916
     0.15984016     0.63988018     -158.99274     -2.5186496
     0.16083916     0.64088485     -159.99269     -2.5207998
     0.16183816     0.64186952     -160.99265     -2.5229424
     0.16283716     0.64283440     -161.99260     -2.5250774
     0.16383616     0.64377969     -162.99255     -2.5272051
     0.16483516     0.64470559     -163.99251     -2.5293254
     0.16583417     0.64561227     -164.99246     -2.5314385
     0.16683317     0.64649995     -165.99242     -2.5335445
     0.16783217     0.64736879     -166.99237     -2.5356435
     0.16883117     0.64821901     -167.99233     -2.5377357
     0.16983017     0.64905077     -168.99228     -2.5398210
     0.17082917     0.64986426     -169.99224     -2.5418996
     0.17182817     0.65065967     -170.99219     -2.5439717
     0.17282717     0.65143718     -171.99215     -2.5460373
     0.17382617     0.65219696     -172.99210     -2.5480964
     0.17482517     0.65293918     -173.99206     -2.5501493
     0.17582418     0.65366404     -174.99201     -2.5521959
     0.17682318     0.65437169     -175.99196     -2.5542364
     0.17782218     0.65506231     -176.99192     -2.5562709
     0.17882118     0.65573608     -177.99187     -2.5582995
     0.17982018     0.65639315     -178.99183     -2.5603222
     0.18081918     0.65703369     -179.99178     -2.5623392
     0.18181818     0.65765787     -180.99174     -2.5643505
     0.18281718     0.65826585     -181.99169     -2.5663562
     0.18381618     0.65885780     -182.99165     -2.5683564
     0.18481518     0.65943387     -183.99160     -2.5703512
     0.18581419     0.65999422     -184.99156     -2.5723406
     0.18681319     0.66053901     -185.99151     -2.5743248
     0.18781219     0.66106839     -186.99146     -2.5763038
     0.18881119     0.66158252     -187.99142     -2.5782778
     0.18981019     0.66208154     -188.99137     -2.5802467
     0.19080919     0.66256562     -189.99133     -2.5822107
     0.19180819     0.66303489     -190.99128     -2.5841699
     0.19280719     0.66348950     -191.99124     -2.5861243
     0.19380619     0.66392961     -192.99119     -2.5880740
     0.19480519     0.66435535     -193.99115     -2.5900191
     0.19580420     0.66476688     -194.99110     -2.5919596
     0.19680320     0.66516432     -195.99106     -2.5938957
     0.19780220     0.66554782     -196.99101     -2.5958273
     0.19880120     0.66591752     -197.99097     -2.5977547
     0.19980020     0.66627356     -198.99092     -2.5996778
     0.20079920     0.66661608     -199.99087     -2.6015967
     0.20179820     0.66694520     -200.99083     -2.6035115
     0.20279720     0.66726106     -201.99078     -2.6054223
     0.20379620     0.66756380     -202.99074     -2.6073291
     0.20479520     0.66785354     -203.99069     -2.6092320
     0.20579421     0.66813041     -204.99065     -2.6111310
     0.20679321     0.66839454     -205.99060     -2.6130264
     0.20779221     0.66864607     -206.99056     -2.6149180
     0.20879121     0.66888511     -207.99051     -2.6168060
     0.20979021     0.66911179     -208.99047     -2.6186904
     0.21078921     0.66932622     -209.99042     -2.6205714
     0.21178821     0.66952855     -210.99038     -2.6224489
     0.21278721     0.66971888     -211.99033     -2.6243231
     0.21378621     0.66989733     -212.99028     -2.6261939
     0.21478521     0.67006402     -213.99024     -2.6280616
     0.21578422     0.67021908     -214.99019     -2.6299261
     0.21678322     0.67036261     -215.99015     -2.6317874
     0.21778222     0.67049473     -216.99010     -2.6336457
     0.21878122     0.67061555     -217.99006     -2.6355011
     0.21978022     0.67072519     -218.99001     -2.6373535
     0.22077922     0.67082376     -219.98997     -2.6392031
     0.22177822     0.67091136     -220.98992     -2.6410499
     0.22277722     0.67098811     -221.98988     -2.6428939
     0.22377622     0.67105412     -222.98983     -2.6447353
     0.22477522     0.67110949     -223.98979     -2.6465740
     0.22577423     0.67115433     -224.98974     -2.6484103
     0.22677323     0.67118875     -225.98969     -2.6502440
     0.22777223     0.67121284     -226.98965     -2.6520753
     0.22877123     0.67122671     -227.98960     -2.6539042
     0.22977023     0.67123046     -228.98956     -2.6557308
     0.23076923     0.67122419     -229.98951     -2.6575552
     0.23176823     0.67120801     -230.98947     -2.6593773
     0.23276723     0.67118201     -231.98942     -2.6611973
     0.23376623     0.67114628     -232.98938     -2.6630153
     0.23476523     0.67110094     -233.98933     -2.6648312
     0.23576424     0.67104606     -234.98929     -2.6666451
     0.23676324     0.67098175     -235.98924     -2.6684572
     0.23776224     0.67090810     -236.98919     -2.6702673
     0.23876124     0.67082521     -237.98915     -2.6720757
     0.23976024     0.67073316     -238.98910     -2.6738824
     0.24075924     0.67063205     -239.98906     -2.6756874
     0.24175824     0.67052196     -240.98901     -2.6774907
     0.24275724     0.67040299     -241.98897     -2.6792925
     0.24375624     0.67027523     -242.98892     -2.6810927
     0.24475524     0.67013876     -243.98888     -2.6828915
     0.24575425     0.66999367     -244.98883     -2.6846889
     0.24675325     0.66984004     -245.98879     -2.6864850
     0.24775225     0.66967797     -246.98874     -2.6882797
     0.24875125     0.66950753     -247.98870     -2.6900732
     0.24975025     0.66932880     -248.98865     -2.6918656
     0.25074925     0.66914188     -249.98860     -2.6936568
     0.25174825     0.66894684     -250.98856     -2.6954469
     0.25274725     0.66874376     -251.98851     -2.6972360
     0.25374625     0.66853272     -252.98847     -2.6990241
     0.25474525     0.66831381     -253.98842     -2.7008114
     0.25574426     0.66808710     -254.98838     -2.7025977
     0.25674326     0.66785266     -255.98833     -2.7043833
     0.25774226     0.66761058     -256.98829     -2.7061681
     0.25874126     0.66736093     -257.98824     -2.7079523
     0.25974026     0.66710379     -258.98820     -2.7097358
     0.26073926     0.66683923     -259.98815     -2.7115187
     0.26173826     0.66656733     -260.98811     -2.7133010
     0.26273726     0.66628815     -261.98806     -2.7150829
     0.26373626     0.66600177     -262.98801     -2.7168644
     0.26473526     0.66570827     -263.98797     -2.7186455
     0.26573427     0.66540771     -264.98792     -2.7204263
     0.26673327     0.66510017     -265.98788     -2.7222068
     0.26773227     0.66478570     -266.98783     -2.7239872
     0.26873127     0.66446439     -267.98779     -2.7257673
