       x:             u(x):          v(x):        log10(RelativeError):   
  9.9990001E-05  0.00090310189  5.8885730E-18     -2.3872778
  0.00019998000   0.0018042062    -0.99990920     -2.4502445
  0.00029997000   0.0027040635     -1.9998638     -2.4854047
  0.00039996000   0.0036027580     -2.9998184     -2.5104592
  0.00049995000   0.0045003325     -3.9997730     -2.5301926
  0.00059994001   0.0053968129     -4.9997276     -2.5466088
  0.00069993001   0.0062922169     -5.9996822     -2.5607444
  0.00079992001   0.0071865573     -6.9996368     -2.5732081
  0.00089991001   0.0080798440     -7.9995914     -2.5843894
  0.00099990001   0.0089720851     -8.9995460     -2.5945530
   0.0010998900   0.0098632870     -9.9995006     -2.6038877
   0.0011998800    0.010753455     -10.999455     -2.6125331
   0.0012998700    0.011642595     -11.999410     -2.6205952
   0.0013998600    0.012530709     -12.999364     -2.6281569
   0.0014998500    0.013417803     -13.999319     -2.6352841
   0.0015998400    0.014303879     -14.999274     -2.6420301
   0.0016998300    0.015188941     -15.999228     -2.6484387
   0.0017998200    0.016072991     -16.999183     -2.6545462
   0.0018998100    0.016956032     -17.999137     -2.6603835
   0.0019998000    0.017838066     -18.999092     -2.6659765
   0.0020997900    0.018719096     -19.999047     -2.6713476
   0.0021997800    0.019599124     -20.999001     -2.6765162
   0.0022997700    0.020478152     -21.998956     -2.6814991
   0.0023997600    0.021356182     -22.998910     -2.6863109
   0.0024997500    0.022233215     -23.998865     -2.6909648
   0.0025997400    0.023109254     -24.998820     -2.6954722
   0.0026997300    0.023984300     -25.998774     -2.6998435
   0.0027997200    0.024858355     -26.998729     -2.7040877
   0.0028997100    0.025731421     -27.998683     -2.7082132
   0.0029997000    0.026603499     -28.998638     -2.7122273
   0.0030996900    0.027474591     -29.998593     -2.7161369
   0.0031996800    0.028344698     -30.998547     -2.7199481
   0.0032996700    0.029213821     -31.998502     -2.7236664
   0.0033996600    0.030081963     -32.998456     -2.7272970
   0.0034996500    0.030949125     -33.998411     -2.7308445
   0.0035996400    0.031815307     -34.998366     -2.7343132
   0.0036996300    0.032680512     -35.998320     -2.7377071
   0.0037996200    0.033544740     -36.998275     -2.7410299
   0.0038996100    0.034407993     -37.998229     -2.7442849
   0.0039996000    0.035270273     -38.998184     -2.7474753
   0.0040995900    0.036131580     -39.998139     -2.7506041
   0.0041995800    0.036991916     -40.998093     -2.7536738
   0.0042995700    0.037851282     -41.998048     -2.7566871
   0.0043995600    0.038709680     -42.998002     -2.7596464
   0.0044995500    0.039567110     -43.997957     -2.7625538
   0.0045995400    0.040423573     -44.997912     -2.7654114
   0.0046995300    0.041279072     -45.997866     -2.7682213
   0.0047995200    0.042133606     -46.997821     -2.7709851
   0.0048995100    0.042987178     -47.997775     -2.7737047
   0.0049995000    0.043839789     -48.997730     -2.7763817
   0.0050994901    0.044691439     -49.997685     -2.7790175
   0.0051994801    0.045542130     -50.997639     -2.7816137
   0.0052994701    0.046391862     -51.997594     -2.7841717
   0.0053994601    0.047240638     -52.997548     -2.7866927
   0.0054994501    0.048088458     -53.997503     -2.7891779
   0.0055994401    0.048935323     -54.997458     -2.7916286
   0.0056994301    0.049781234     -55.997412     -2.7940458
   0.0057994201    0.050626193     -56.997367     -2.7964306
   0.0058994101    0.051470201     -57.997321     -2.7987840
   0.0059994001    0.052313258     -58.997276     -2.8011069
   0.0060993901    0.053155366     -59.997231     -2.8034003
   0.0061993801    0.053996526     -60.997185     -2.8056651
   0.0062993701    0.054836738     -61.997140     -2.8079020
   0.0063993601    0.055676005     -62.997094     -2.8101118
   0.0064993501    0.056514326     -63.997049     -2.8122954
   0.0065993401    0.057351704     -64.997004     -2.8144534
   0.0066993301    0.058188139     -65.996958     -2.8165865
   0.0067993201    0.059023631     -66.996913     -2.8186955
   0.0068993101    0.059858184     -67.996867     -2.8207808
   0.0069993001    0.060691796     -68.996822     -2.8228432
   0.0070992901    0.061524470     -69.996777     -2.8248833
   0.0071992801    0.062356206     -70.996731     -2.8269015
   0.0072992701    0.063187005     -71.996686     -2.8288984
   0.0073992601    0.064016869     -72.996640     -2.8308747
   0.0074992501    0.064845798     -73.996595     -2.8328307
   0.0075992401    0.065673793     -74.996550     -2.8347669
   0.0076992301    0.066500856     -75.996504     -2.8366838
   0.0077992201    0.067326987     -76.996459     -2.8385819
   0.0078992101    0.068152188     -77.996413     -2.8404616
   0.0079992001    0.068976459     -78.996368     -2.8423232
   0.0080991901    0.069799802     -79.996323     -2.8441673
   0.0081991801    0.070622217     -80.996277     -2.8459942
   0.0082991701    0.071443706     -81.996232     -2.8478042
   0.0083991601    0.072264269     -82.996186     -2.8495978
   0.0084991501    0.073083907     -83.996141     -2.8513752
   0.0085991401    0.073902622     -84.996096     -2.8531369
   0.0086991301    0.074720415     -85.996050     -2.8548831
   0.0087991201    0.075537285     -86.996005     -2.8566142
   0.0088991101    0.076353235     -87.995959     -2.8583304
   0.0089991001    0.077168266     -88.995914     -2.8600321
   0.0090990901    0.077982378     -89.995869     -2.8617195
   0.0091990801    0.078795572     -90.995823     -2.8633930
   0.0092990701    0.079607849     -91.995778     -2.8650528
   0.0093990601    0.080419210     -92.995732     -2.8666991
   0.0094990501    0.081229657     -93.995687     -2.8683323
   0.0095990401    0.082039190     -94.995642     -2.8699525
   0.0096990301    0.082847810     -95.995596     -2.8715601
   0.0097990201    0.083655518     -96.995551     -2.8731551
   0.0098990101    0.084462315     -97.995505     -2.8747380
   0.0099990001    0.085268203     -98.995460     -2.8763088
    0.010098990    0.086073181     -99.995415     -2.8778678
    0.010198980    0.086877251     -100.99537     -2.8794152
    0.010298970    0.087680414     -101.99532     -2.8809513
    0.010398960    0.088482671     -102.99528     -2.8824761
    0.010498950    0.089284022     -103.99523     -2.8839899
    0.010598940    0.090084469     -104.99519     -2.8854929
    0.010698930    0.090884013     -105.99514     -2.8869853
    0.010798920    0.091682655     -106.99510     -2.8884672
    0.010898910    0.092480395     -107.99505     -2.8899389
    0.010998900    0.093277235     -108.99501     -2.8914004
    0.011098890    0.094073175     -109.99496     -2.8928519
    0.011198880    0.094868216     -110.99492     -2.8942937
    0.011298870    0.095662360     -111.99487     -2.8957258
    0.011398860    0.096455606     -112.99482     -2.8971484
    0.011498850    0.097247957     -113.99478     -2.8985617
    0.011598840    0.098039413     -114.99473     -2.8999658
    0.011698830    0.098829976     -115.99469     -2.9013608
    0.011798820    0.099619645     -116.99464     -2.9027469
    0.011898810     0.10040842     -117.99460     -2.9041242
    0.011998800     0.10119631     -118.99455     -2.9054929
    0.012098790     0.10198330     -119.99451     -2.9068530
    0.012198780     0.10276941     -120.99446     -2.9082047
    0.012298770     0.10355463     -121.99442     -2.9095482
    0.012398760     0.10433896     -122.99437     -2.9108835
    0.012498750     0.10512240     -123.99433     -2.9122107
    0.012598740     0.10590496     -124.99428     -2.9135300
    0.012698730     0.10668663     -125.99423     -2.9148415
    0.012798720     0.10746742     -126.99419     -2.9161453
    0.012898710     0.10824732     -127.99414     -2.9174415
    0.012998700     0.10902635     -128.99410     -2.9187301
    0.013098690     0.10980449     -129.99405     -2.9200114
    0.013198680     0.11058175     -130.99401     -2.9212854
    0.013298670     0.11135814     -131.99396     -2.9225522
    0.013398660     0.11213364     -132.99392     -2.9238119
    0.013498650     0.11290827     -133.99387     -2.9250645
    0.013598640     0.11368202     -134.99383     -2.9263103
    0.013698630     0.11445489     -135.99378     -2.9275492
    0.013798620     0.11522689     -136.99373     -2.9287814
    0.013898610     0.11599802     -137.99369     -2.9300069
    0.013998600     0.11676827     -138.99364     -2.9312259
    0.014098590     0.11753765     -139.99360     -2.9324384
    0.014198580     0.11830616     -140.99355     -2.9336445
    0.014298570     0.11907380     -141.99351     -2.9348442
    0.014398560     0.11984057     -142.99346     -2.9360377
