       x:             u(x):          v(x):        log10(RelativeError):   
    0.090909091     0.72625152  5.8885730E-18    -0.36181111
     0.18181818     0.78656863    -0.99990920    -0.70054459
     0.27272727     0.72890364     -1.9998638    -0.99460624
     0.36363636     0.63257905     -2.9998184     -1.4322662
     0.45454545     0.52493980     -3.9997730     -1.7317269
     0.54545455     0.41527803     -4.9997276     -1.1092369
     0.63636364     0.30646134     -5.9996822    -0.81449631
     0.72727273     0.19913141     -6.9996368    -0.57174038
     0.81818182    0.093221977     -7.9995914    -0.31283304
